ACT composite score,SAT total score,parental level of education,parental income,high school gpa,college gpa,years to graduate
25,1880,bachelor's degree,72342,3.4,3.4,5
28,1849,some high school,62604,3.3,3,6
31,2050,associate's degree,88303,4,3.6,4
33,2284,bachelor's degree,50616,4,3.4,6
29,1938,master's degree,90895,3.6,3.5,5
29,2018,some high school,62405,3.7,3.3,7
28,1992,some college,79275,3.8,3.2,5
31,2046,associate's degree,51232,4,3.3,7
28,1873,some college,65764,3.6,3.2,7
29,2038,bachelor's degree,82744,3.8,3.5,4
31,2148,bachelor's degree,92944,3.9,3.8,3
32,2129,associate's degree,54206,4,3.7,5
31,2242,bachelor's degree,76800,4,3.4,4
26,1767,some high school,54188,3.2,3.2,5
31,2097,master's degree,78696,4,3.3,8
34,2205,some college,65380,4,3.4,8
25,1834,master's degree,73637,3.4,3.5,3
32,2092,associate's degree,86539,4,3.5,4
28,1967,some high school,50647,3.7,3.3,5
23,1772,some college,79247,3.2,3.3,4
28,1968,some college,94679,3.7,3.4,4
26,1888,some college,30315,3.5,3.2,6
25,1809,some college,68469,3.3,3.2,4
32,2247,master's degree,97204,4,3.4,5
27,1887,high school,46420,3.6,3.3,5
26,1976,some high school,45356,3.6,3.1,5
30,2183,associate's degree,51899,4,3.5,5
23,1695,high school,23339,3.1,2.8,10
29,1929,some high school,52098,3.6,3.2,5
26,1846,some high school,69333,3.4,3.4,4
26,1964,bachelor's degree,67909,3.7,3.5,4
32,2204,associate's degree,68400,4,3.5,8
34,2320,master's degree,105855,4,3.8,4
28,2079,master's degree,84753,4,3.2,6
29,1917,some college,94933,3.5,3.5,4
28,2042,bachelor's degree,99427,3.8,3.2,6
27,1953,high school,66152,3.7,3.6,3
28,1881,associate's degree,68757,3.7,3.3,4
28,1995,bachelor's degree,103206,3.9,3.6,4
32,2112,some high school,49381,4,3.2,6
26,1972,associate's degree,44806,3.6,3.4,4
26,1765,associate's degree,98508,3.4,3.5,4
29,2062,bachelor's degree,70196,3.8,3.5,4
24,1807,bachelor's degree,95577,3.4,3.3,4
30,2008,bachelor's degree,79625,3.9,3.3,4
29,2084,associate's degree,82490,3.9,3.6,4
29,2070,master's degree,83295,3.9,3.1,8
32,2138,high school,61829,4,3.3,5
29,2090,associate's degree,78473,4,3.6,4
31,2205,bachelor's degree,86058,4,3.9,3
29,1965,some college,58888,3.6,3.3,5
28,1975,some college,67260,3.7,3.2,5
34,2274,some college,65602,4,3.2,9
29,1959,high school,45999,3.6,3,7
35,2180,associate's degree,81159,4,3.7,4
27,1865,bachelor's degree,102047,3.5,3.7,3
34,2242,associate's degree,79792,4,3.9,3
26,1932,some college,67452,3.5,3.3,5
33,2128,high school,73847,4,3.8,3
27,2087,some college,85791,3.9,3.5,4
29,2120,bachelor's degree,74872,4,3.6,3
27,1867,high school,49524,3.3,3.4,4
26,1872,some college,70253,3.5,3.5,7
28,1959,some high school,64336,3.8,3.6,3
33,2270,some college,72464,4,3.7,7
27,1923,some college,75191,3.7,3.3,4
30,2028,associate's degree,86472,3.8,3.5,4
27,1823,high school,79887,3.3,3.3,4
35,2345,master's degree,54808,4,3.6,5
31,2149,some college,75367,4,3.8,3
33,2317,master's degree,77484,4,3.9,3
27,1951,some college,59536,3.7,3.5,3
27,1873,some high school,42716,3.4,3,5
29,1933,some college,88091,3.8,3.5,5
30,1993,some high school,64274,3.6,3.5,5
25,1856,some college,61815,3.5,3,5
24,1738,some high school,58446,3.2,3.1,4
30,2063,some college,87409,3.9,3.8,5
28,1991,some high school,61407,3.7,3.1,6
27,2014,associate's degree,76852,3.7,3.2,6
29,2050,bachelor's degree,83532,4,3.7,3
27,1921,high school,57667,3.5,3.2,4
26,1917,some high school,72866,3.6,3.4,4
28,1995,some high school,48284,3.8,3.4,6
25,1820,high school,65667,3.4,3.2,5
29,1990,associate's degree,60007,3.7,3.6,5
31,2141,master's degree,84226,4,3,6
28,1940,some college,47008,3.7,3,6
28,1970,some college,50718,3.9,3.3,4
34,2157,bachelor's degree,75621,4,3.7,5
32,2201,bachelor's degree,97197,4,3.3,6
28,1908,associate's degree,57837,3.6,3.4,5
30,2164,associate's degree,53231,4,3.3,4
27,1952,high school,40480,3.7,3.3,5
28,2030,some college,83506,3.6,3.4,4
28,1934,some college,75512,3.6,3.5,6
32,2224,bachelor's degree,74890,4,3.3,5
26,1827,some college,83670,3.4,3.4,4
21,1663,some high school,50583,2.7,2.9,4
32,2045,master's degree,60327,4,3.4,6
23,1692,some high school,31310,3,3.3,7
26,1919,some college,59019,3.7,3.2,6
28,2072,bachelor's degree,57990,3.9,3.4,7
32,2251,bachelor's degree,89986,4,3.7,4
26,1847,bachelor's degree,84105,3.4,3.5,3
32,2190,associate's degree,49265,4,3.3,5
28,1938,some college,55598,3.6,3.3,4
28,2132,bachelor's degree,69301,3.9,3.2,7
30,2074,some college,59304,3.9,3.3,7
31,2133,high school,54758,3.9,3.6,3
24,1729,some high school,47829,3.1,3.3,4
31,2221,some college,40579,4,3.5,5
28,1927,some college,31190,3.7,3.1,5
30,2128,some college,34095,4,3.1,6
28,2058,master's degree,111738,3.9,3.8,4
29,1954,associate's degree,61057,3.7,3.7,3
28,1962,some college,62285,3.6,3.1,9
25,1884,some college,56634,3.5,3.3,6
30,2056,some college,95378,4,3.9,3
30,2042,high school,80338,3.8,3.4,4
29,2068,bachelor's degree,72333,3.9,3.4,5
26,1827,some college,56456,3.4,3.4,3
29,2074,some college,68394,3.9,3.5,4
34,2270,master's degree,93342,4,3.8,4
28,1976,high school,36903,3.7,3.4,4
34,2198,high school,66836,4,3.6,6
28,1965,associate's degree,83198,3.6,3.6,3
30,2091,master's degree,82060,4,3.5,4
27,1888,high school,58422,3.4,3.5,3
29,2063,master's degree,97212,3.7,3.6,4
26,1896,associate's degree,101984,3.6,3.3,9
30,2086,associate's degree,86328,4,3.7,3
26,1797,some high school,48863,3.4,3.1,5
31,2113,high school,61196,4,3.7,6
30,2162,some college,55295,4,3.4,4
29,1972,high school,68037,3.7,3.3,4
28,1801,high school,53253,3.5,3.5,3
31,2094,some high school,54008,3.9,3.4,4
30,2048,some high school,37709,3.8,3.3,5
28,1881,some college,54130,3.6,3.2,4
27,1998,associate's degree,74336,3.7,3.3,8
28,1869,some college,63048,3.5,3.3,4
29,1979,high school,47836,3.8,3.4,5
28,1940,associate's degree,68041,3.6,3.3,5
30,2155,some high school,77555,4,3.8,3
25,1853,some college,76382,3.3,3.2,4
29,1962,bachelor's degree,62028,3.8,3.4,4
29,1976,some college,88484,3.8,3.6,4
35,2327,master's degree,84716,4,3.6,4
29,2033,high school,76706,3.7,3.4,4
36,2370,master's degree,87971,4,3.9,4
29,1982,high school,69309,3.8,3.1,5
27,1908,some high school,42050,3.5,3.1,5
30,2069,master's degree,104170,3.9,3.4,7
30,2084,bachelor's degree,66498,3.9,3.7,6
28,1953,associate's degree,96130,3.6,3.6,5
24,1728,high school,83198,3.1,3.4,4
26,1903,bachelor's degree,78499,3.6,3,7
29,1996,high school,51607,3.7,3.6,3
29,1995,some high school,60115,3.8,3.6,3
29,2021,high school,71331,3.7,3.4,5
31,2052,some high school,42479,4,3.6,4
28,1967,high school,60116,3.6,3.4,4
32,2229,some college,82536,4,3.6,4
31,2165,associate's degree,52412,4,3.2,8
27,1897,some college,82026,3.6,3.2,4
25,1835,high school,44638,3.3,3,6
29,2040,some college,57125,3.7,3.2,4
30,1965,some college,50250,3.8,3.4,4
25,1761,some high school,56485,3.1,3.4,3
29,2112,some college,61969,4,3.4,5
29,2050,high school,54348,3.8,3.3,4
31,2235,associate's degree,84436,4,3.5,4
30,1977,high school,81363,3.7,3.5,4
28,1899,high school,46425,3.6,3.2,5
29,1953,some college,36467,3.8,3.5,6
33,2178,some high school,69331,4,3.6,7
23,1770,some high school,27048,3.2,2.7,8
30,2056,some high school,70036,3.8,3.4,4
31,2049,associate's degree,85677,3.9,3.6,6
28,1928,associate's degree,88430,3.6,3.3,5
31,2280,some college,61851,4,3.7,4
26,1863,some high school,39661,3.5,3.2,5
31,2192,bachelor's degree,84912,4,3.6,4
30,2085,some high school,54744,3.8,3.4,4
29,2058,some college,52415,3.9,3.4,4
30,2089,some high school,54021,4,3.8,4
27,1986,some high school,30993,3.7,3,10
29,2045,high school,55479,3.9,3.4,4
31,2136,some high school,59649,4,3.6,4
29,2130,bachelor's degree,71513,4,3.7,4
31,2179,high school,82295,4,3.8,7
31,2091,master's degree,112897,4,4,4
29,2030,some college,96274,3.6,3.5,4
31,2039,some high school,48924,3.8,3.5,4
24,1771,some college,57576,3.2,3,7
26,1891,some high school,57453,3.5,3.1,5
30,2073,some college,43601,4,3.3,8
30,2196,bachelor's degree,81929,4,3.3,7
26,1887,some college,54524,3.4,3.2,6
27,2012,some college,51040,3.7,3.6,3
27,1867,some college,66405,3.4,3.3,5
30,1979,high school,53157,3.8,3.6,3
28,1919,high school,64305,3.6,3.3,4
27,1881,high school,33453,3.5,3.2,5
26,1838,some high school,45544,3.4,3,6
32,2116,master's degree,87682,4,3.3,7
27,1881,high school,50128,3.4,3.5,4
32,2242,bachelor's degree,78924,4,3.7,4
29,2131,some college,78170,4,3.5,5
31,2033,some high school,24478,3.9,3.4,6
30,2033,associate's degree,70473,3.9,3.7,3
28,1875,some college,54754,3.7,3.2,4
25,1665,some college,59629,3,2.9,5
31,2050,high school,79773,4,3.5,5
34,2194,high school,52188,4,3.5,8
23,1650,some high school,69352,2.9,3,4
27,1985,some high school,52251,3.6,3.3,7
31,2174,bachelor's degree,100166,4,3.6,5
28,2102,master's degree,66645,3.9,3.5,4
34,2197,associate's degree,66152,4,3.3,5
25,1816,some high school,55983,3.3,2.9,5
30,2018,high school,73979,3.8,3.4,6
31,2233,associate's degree,84414,4,3.4,5
21,1636,some high school,76442,2.8,3.2,4
28,1932,some high school,45287,3.6,3,6
27,1887,high school,66290,3.6,3.6,3
29,1965,high school,47786,3.7,3.6,4
32,2203,master's degree,123461,4,3.8,4
29,1978,some high school,29778,3.7,3.2,5
29,2086,some high school,25798,3.9,2.9,6
29,2044,some high school,62392,3.8,3.7,3
26,1950,associate's degree,69859,3.5,3.6,4
31,2176,bachelor's degree,75516,4,3.5,4
33,2254,some college,51430,4,3.3,7
30,1988,associate's degree,70183,3.9,3.7,3
34,2170,high school,63931,4,3.5,4
23,1744,some high school,41295,3,2.8,6
30,2130,some high school,65278,3.9,3.6,7
29,1901,high school,63246,3.4,3.3,4
31,2217,master's degree,86257,4,3.5,4
27,1869,some high school,59027,3.6,3.3,5
32,2127,some college,56482,4,3.4,6
26,1925,some high school,68198,3.6,3.6,3
31,2047,some college,60430,4,3.7,3
28,1834,some high school,40379,3.4,3.2,5
28,1972,high school,56353,3.7,3.3,4
33,2198,associate's degree,76145,4,3.5,4
28,1974,some high school,70013,3.7,3.4,7
26,1915,master's degree,99643,3.5,3.4,6
31,2040,some college,51755,4,3.6,4
31,2142,high school,79367,4,3.5,4
29,2077,some high school,86758,3.8,3.5,6
31,2114,high school,85269,4,3.9,3
32,2167,associate's degree,83080,4,3.8,3
27,1886,high school,46897,3.5,3.1,9
31,2268,master's degree,103605,4,3.7,4
26,1801,some high school,46981,3.3,2.9,10
31,2034,some high school,39176,3.9,3.2,5
27,1979,bachelor's degree,106943,3.9,3.6,5
27,1955,some college,58874,3.7,3.1,5
27,1919,associate's degree,77342,3.5,3.4,4
30,2066,some high school,46573,3.9,3.5,6
26,1831,associate's degree,76134,3.3,3.6,3
26,1863,some college,58602,3.4,3.1,8
34,2121,some high school,42804,4,3.2,6
31,2092,associate's degree,98253,4,3.4,7
32,2111,associate's degree,96327,4,3.7,4
33,2178,some high school,40393,4,3.7,4
31,2152,associate's degree,85785,4,3.4,5
27,1885,some high school,30605,3.4,3,5
31,2248,master's degree,82092,4,3.9,3
30,2077,high school,51481,3.9,3.7,6
28,1918,associate's degree,67883,3.7,3.6,3
30,2042,associate's degree,88980,4,3.5,4
31,2195,some college,79634,4,3.4,4
31,2218,associate's degree,76965,4,3.7,4
30,2079,master's degree,69965,4,3.4,6
27,1964,associate's degree,81813,3.6,3.4,4
26,1905,some high school,50879,3.4,3.1,5
25,1692,some high school,42592,3,3.1,6
29,2066,some college,77218,3.9,3.2,5
33,2154,some college,50079,4,3.8,3
27,1962,associate's degree,61525,3.7,3.5,5
30,2113,master's degree,101311,4,3.6,4
30,2097,high school,65316,3.9,3.6,4
28,1988,some high school,42823,3.6,3.4,8
28,1910,some college,55004,3.6,3.4,7
26,1701,some high school,39753,3.3,3.3,7
32,2146,associate's degree,83863,4,3.7,4
27,1942,high school,77821,3.5,3.3,4
29,2118,bachelor's degree,122464,4,3.4,9
27,2064,master's degree,74157,3.8,3.2,6
27,1985,bachelor's degree,54253,3.8,3.2,6
31,2049,high school,53591,4,3.1,5
20,1698,some high school,62266,2.9,3.1,4
28,2005,some college,56836,3.8,3.2,4
28,1981,high school,62073,3.7,3.2,5
27,2038,associate's degree,103917,3.7,3.5,5
32,2145,associate's degree,81587,4,3.4,5
30,2002,high school,86463,3.8,3.1,5
33,2181,high school,41353,4,3.4,7
26,1843,high school,61545,3.3,3.4,4
28,1954,some high school,49001,3.7,3.2,5
25,1887,some college,82078,3.7,3.4,4
27,1839,some college,61740,3.4,2.7,7
30,2081,some college,43533,3.8,3.1,5
28,1955,some college,65522,3.7,3.4,4
26,1905,some college,76282,3.6,3.4,4
34,2294,some college,51632,4,3.5,4
32,2093,some high school,32736,4,3.6,5
31,2178,associate's degree,60145,4,3.1,5
28,1918,high school,44237,3.5,3.3,7
28,1898,master's degree,87192,3.7,3.3,8
31,2163,bachelor's degree,86865,4,3.6,4
27,1895,some high school,78861,3.7,3.3,5
27,1938,some college,57634,3.6,3.4,4
29,2017,some college,46765,3.8,3.5,4
27,2004,some college,80677,3.8,3.5,5
27,1893,high school,72809,3.4,3.3,4
27,1970,some college,33967,3.6,2.9,6
27,1957,some college,33442,3.6,2.9,6
28,1897,some college,65662,3.5,3.3,4
26,1900,some college,49605,3.7,3.2,6
28,2025,some high school,63712,3.6,3.1,6
30,2020,high school,50697,3.9,3.7,5
31,2025,some high school,23954,3.9,3.3,5
31,2115,high school,72755,3.9,3.8,3
29,1987,some high school,56723,3.7,3.7,5
31,2092,some high school,55568,4,3.8,3
29,2079,bachelor's degree,60058,3.9,3.3,4
26,1822,associate's degree,56565,3.4,3.3,4
29,2103,some college,59952,4,3.2,5
31,2033,high school,39767,3.9,3.3,5
30,2165,some college,50190,4,3.6,3
30,2196,associate's degree,68256,4,3.2,7
31,2117,high school,73460,3.9,3.5,5
29,1974,associate's degree,103898,3.7,3.7,4
30,2121,some college,67242,4,3.4,4
30,2032,associate's degree,86440,3.9,3.5,4
28,1908,some high school,51306,3.6,3.3,4
35,2305,master's degree,113194,4,4,6
28,2012,high school,62507,3.7,3.7,3
29,1999,some high school,77372,3.8,3.3,5
32,2139,bachelor's degree,94392,4,3.6,4
27,1868,some high school,40890,3.5,3.2,7
28,1869,high school,58644,3.4,3.4,4
32,2162,some high school,52542,4,3.4,4
28,1938,high school,40645,3.5,3.4,5
31,2139,bachelor's degree,75007,4,3.7,5
29,1922,associate's degree,57096,3.7,3,5
30,2223,bachelor's degree,95599,4,3.6,7
30,2032,some college,57425,4,3.6,4
30,1999,associate's degree,52439,3.8,3.2,4
29,2009,high school,57841,3.7,3.5,3
23,1748,bachelor's degree,80125,3.2,3.1,4
27,1907,associate's degree,56443,3.5,3,7
29,1897,bachelor's degree,95555,3.7,3.4,4
28,2024,some high school,80887,3.8,3.5,4
29,1997,high school,57081,3.7,3.4,4
26,1924,associate's degree,73198,3.6,3.3,4
28,1840,high school,51404,3.4,3.3,5
31,2074,some college,48061,3.9,3.6,4
32,2051,high school,44102,4,3.3,8
26,1851,some high school,38914,3.5,3.3,8
29,1949,associate's degree,77787,3.7,3.5,4
34,2306,associate's degree,69309,4,3.6,4
32,2202,some college,70161,4,3.7,3
31,2065,associate's degree,85127,3.9,3.8,3
33,2258,associate's degree,64276,4,3.6,5
29,2121,some college,49376,4,3.3,6
26,1885,some high school,79056,3.3,3.5,3
29,2025,some college,68053,3.8,3.4,4
29,1988,some high school,21279,3.8,3.2,5
32,2239,master's degree,80220,4,3.4,7
23,1798,associate's degree,89417,3.2,3.4,4
27,1971,some high school,41478,3.7,3.3,7
27,2015,some high school,47730,3.7,3,6
29,2013,associate's degree,71144,3.9,3.4,4
31,2037,bachelor's degree,70000,4,3.7,6
25,1882,some college,49282,3.3,3.5,7
27,2103,some college,75931,3.9,3.4,5
27,1925,some college,65896,3.6,3.3,4
30,2211,bachelor's degree,79036,4,3.3,7
27,1975,bachelor's degree,87273,3.6,3.2,5
31,2087,high school,41478,3.9,3.4,6
24,1873,some college,71382,3.3,3.1,5
32,2228,bachelor's degree,92031,4,3.5,7
30,1948,high school,44079,3.6,3,6
33,2162,high school,50934,4,3.5,6
30,2142,bachelor's degree,97194,4,3.5,4
26,1905,high school,81369,3.4,3.3,6
24,1716,high school,55178,3.1,2.7,5
22,1594,high school,55630,2.8,3.3,3
26,1875,some high school,50361,3.2,3,5
25,1828,associate's degree,51326,3.3,3.3,6
29,2191,bachelor's degree,59052,4,3.4,5
26,1931,high school,62439,3.6,3.4,4
27,1997,some high school,53400,3.6,3.3,4
26,1918,bachelor's degree,92537,3.6,3.6,3
24,1851,high school,71676,3.3,3.5,3
29,2045,master's degree,98733,3.9,3.6,6
31,1982,high school,35551,3.8,3.5,6
26,1922,high school,21351,3.5,3.4,4
28,1986,associate's degree,81618,3.7,3.6,4
27,1920,some high school,53467,3.6,3.4,4
30,2009,master's degree,81054,3.8,3.1,5
28,2050,master's degree,94658,3.7,3.8,6
32,2130,associate's degree,61041,4,3.5,4
26,1883,some college,86581,3.7,3.3,5
27,1912,high school,60965,3.4,3.1,7
28,2045,master's degree,79216,3.9,3.1,5
26,1927,associate's degree,83852,3.5,3.6,5
35,2187,associate's degree,49327,4,3.3,6
32,2166,some college,80680,4,3.7,3
30,2023,high school,56077,3.8,3.5,8
31,2159,high school,56719,4,3.2,7
28,2010,associate's degree,75439,3.7,3.7,4
31,2142,bachelor's degree,104697,4,3.4,5
31,2226,high school,75698,4,3.8,3
28,1949,some high school,28705,3.6,3.2,5
26,1835,high school,57281,3.3,3.4,6
27,1928,some high school,38494,3.6,3.1,8
33,2161,high school,47296,4,3.6,7
30,2209,some college,54842,4,3.4,5
28,1975,some high school,31592,3.8,3.2,6
28,2038,master's degree,84250,3.6,3.2,5
30,2011,some high school,29830,3.8,3,6
29,1956,some college,79068,3.8,3.4,6
22,1604,high school,94833,2.9,3.1,5
26,1933,some college,69130,3.6,3.3,4
32,2220,associate's degree,69429,4,3.4,5
32,2221,some college,56655,4,3.6,6
28,2000,associate's degree,72814,3.8,3,5
25,1792,some high school,68828,3.3,2.8,5
30,2041,high school,72338,3.7,3.5,4
30,1950,high school,66617,3.8,3.4,4
27,2043,bachelor's degree,67910,3.9,3.5,8
30,2076,high school,76865,3.9,3.2,5
34,2298,bachelor's degree,79603,4,3.8,3
27,1967,bachelor's degree,84574,3.6,3.5,4
30,2114,bachelor's degree,66675,4,3.4,5
27,2004,some college,82353,3.8,3.5,7
35,2332,master's degree,98264,4,3.7,7
32,2259,bachelor's degree,122956,4,3.5,5
31,2053,high school,88881,3.9,3.5,6
32,2181,associate's degree,78322,4,3.9,3
33,2091,high school,39084,4,3.3,6
29,2017,some college,66204,3.8,3.7,3
28,1996,some college,63572,3.7,3.4,5
31,2057,some high school,54635,3.9,3.5,5
32,2191,high school,50856,4,3.6,3
31,2076,high school,34437,3.9,3.6,4
28,1997,some high school,63220,3.6,3.1,7
29,2048,bachelor's degree,82585,3.9,3.8,3
29,1988,high school,66399,3.7,3.4,4
33,2200,master's degree,61630,4,3.6,5
33,2165,associate's degree,81067,4,3.7,8
29,1991,bachelor's degree,68428,3.9,3.4,6
26,1901,associate's degree,84765,3.4,3.4,4
29,1953,high school,58293,3.7,3.2,5
29,2032,some college,63196,3.8,3.3,4
26,1885,some college,60402,3.5,3.2,4
28,2082,some college,50979,3.9,3.3,4
32,2059,bachelor's degree,104268,4,3.7,4
29,2011,some college,58820,3.7,3,5
33,2338,bachelor's degree,95012,4,3.7,6
25,1840,high school,51545,3.1,3.1,7
29,2034,some college,55092,3.9,2.9,5
28,1987,some college,64835,3.7,3.3,4
31,2094,bachelor's degree,80229,4,3.5,8
29,2053,bachelor's degree,67423,3.8,3.6,5
22,1607,some high school,50960,3,2.9,7
31,2135,bachelor's degree,66678,4,3.5,6
28,1914,some college,49664,3.6,3,7
29,1885,associate's degree,77453,3.6,3.3,5
30,2104,some college,75021,4,3.4,4
29,1928,high school,68098,3.6,3.1,5
28,1896,associate's degree,65095,3.6,3.4,4
33,2208,master's degree,61976,4,3.4,4
33,2130,high school,83599,4,3.5,5
31,2086,some college,76143,4,3.8,3
35,2267,master's degree,99936,4,3.7,5
28,1960,high school,56282,3.6,3.3,4
25,1714,some college,65761,3.1,3.1,4
27,1894,associate's degree,64786,3.4,3.5,5
28,1893,some college,40393,3.5,2.8,6
31,2131,high school,73025,4,3.5,6
31,2135,master's degree,107956,4,4,3
33,2248,bachelor's degree,97430,4,3.5,5
32,2124,associate's degree,65673,4,3.8,3
25,1884,high school,78794,3.4,3.2,7
28,2014,some college,72632,3.9,3.5,4
26,1826,some high school,48080,3.4,3.2,6
30,1997,associate's degree,84320,3.9,3.5,4
28,1935,high school,70502,3.6,3.4,4
29,1915,high school,69243,3.6,3.3,8
29,1943,high school,42645,3.6,3.3,7
27,1959,some high school,27434,3.5,3.1,5
30,2114,associate's degree,58513,4,3.6,3
26,1876,some college,66520,3.5,3.4,4
31,2132,some college,96544,4,3.7,8
30,2117,some college,66375,4,3.7,3
26,1789,high school,32894,3.2,3.4,4
30,2078,associate's degree,59291,4,3.4,6
33,2186,some high school,52089,4,3.6,4
30,2155,associate's degree,82375,4,3.5,6
33,2258,some college,58724,4,3.7,3
29,1994,some high school,42531,3.7,2.9,6
30,2110,associate's degree,61512,4,3.5,4
29,2043,associate's degree,77314,3.8,3.5,5
31,2027,associate's degree,104876,3.8,3.7,7
26,1985,bachelor's degree,72548,3.8,3.3,4
30,2063,some college,50052,3.9,3.6,3
30,2111,some high school,61838,4,3.6,4
27,1841,high school,74120,3.5,3.3,4
30,1894,some high school,31181,3.7,3.2,6
29,1932,some college,109933,3.8,3.3,5
30,2103,some college,62101,3.9,3.3,4
29,2091,master's degree,80080,4,3.5,4
29,2042,some college,58538,3.9,2.9,5
31,2005,associate's degree,52498,3.9,3.6,6
28,1869,high school,80231,3.5,3.2,7
32,2113,associate's degree,83862,3.9,3.4,5
31,2166,master's degree,90217,4,3.5,4
27,1949,some high school,48852,3.6,3.1,6
32,2343,master's degree,89870,4,3.5,4
29,1962,some college,46767,3.9,3.2,5
33,2171,bachelor's degree,107707,4,3.7,6
28,2021,associate's degree,67214,3.9,3.4,8
28,1955,some college,72965,3.7,3.4,7
29,1953,high school,50903,3.5,3.2,4
30,2062,master's degree,74133,3.9,3.6,4
28,1937,high school,56531,3.4,3.2,5
32,2074,high school,68177,4,3.4,5
28,1972,some college,54136,3.8,3.3,7
26,1950,some college,52186,3.6,3.3,6
30,2086,bachelor's degree,70276,4,3.6,3
25,1918,bachelor's degree,103212,3.6,3.6,6
28,1933,some college,79226,3.6,3.2,4
33,2262,master's degree,69131,4,3.7,3
31,2246,some college,39180,4,3.3,6
29,1998,high school,26606,3.8,3.2,5
28,2041,high school,53007,3.7,3.2,4
30,2009,high school,54448,3.7,3.5,5
23,1786,associate's degree,68027,3.2,3.3,8
30,1961,some college,33729,3.8,3.1,5
31,1966,high school,56680,3.8,3.4,6
29,2074,some college,46307,3.9,3.5,4
27,2020,associate's degree,81005,3.8,3.2,5
24,1876,bachelor's degree,105944,3.4,3.5,4
29,2014,high school,55779,3.8,3.4,5
36,2400,master's degree,75944,4,3.7,4
26,1964,associate's degree,87164,3.6,3.5,4
32,2163,associate's degree,63314,4,3.6,4
26,1789,associate's degree,97236,3.4,3.6,6
26,1939,high school,64760,3.6,3.7,7
29,2077,bachelor's degree,86733,4,3.5,4
28,2049,bachelor's degree,83170,3.8,3.3,4
29,2077,master's degree,87338,4,3.3,5
29,2096,some college,70948,4,3.4,4
29,2036,some high school,23435,3.8,3.1,6
30,1950,high school,61081,3.8,3.7,3
27,1948,associate's degree,62979,3.6,3.2,4
26,1859,high school,64681,3.3,3.2,5
31,2111,associate's degree,61645,4,3.3,6
34,2230,some college,45412,4,3.5,5
32,2244,some college,65063,4,3.7,6
27,1983,some college,52699,3.7,3.6,4
31,2152,high school,71404,4,3.8,3
25,1894,some college,25071,3.4,2.8,6
32,2326,associate's degree,69150,4,3.6,4
28,2045,some college,76248,3.8,3.3,4
26,1945,some high school,47459,3.6,2.9,6
27,1944,some college,43508,3.5,3.4,4
30,2053,some college,88139,3.8,3.5,4
28,2063,bachelor's degree,84854,3.9,3.7,6
32,2128,high school,72176,4,3.5,4
35,2342,associate's degree,70511,4,3.5,6
29,2035,associate's degree,68308,3.8,3.5,4
30,1991,associate's degree,54127,3.8,3.7,3
27,1818,associate's degree,49018,3.4,2.9,6
29,2099,some college,63275,4,3.6,3
27,1894,some high school,59758,3.4,3.1,5
27,1882,high school,42957,3.5,3,7
28,1900,some high school,48679,3.5,3.5,4
33,2180,some college,58859,4,3.5,6
29,2038,associate's degree,77368,3.7,3.5,6
23,1683,some high school,69296,3,3.3,3
34,2290,high school,50886,4,3.5,4
25,1754,some high school,60549,3.2,3.2,8
26,1937,associate's degree,59979,3.4,3,6
27,1948,bachelor's degree,75952,3.7,3.5,3
25,1817,some high school,66534,3.4,3,5
30,1988,high school,58470,3.7,3.1,5
31,2147,associate's degree,64717,4,3.4,5
27,2050,some high school,35466,3.7,3.4,8
26,1962,associate's degree,88843,3.7,3.6,5
31,2037,some college,63192,4,3.3,5
31,2196,master's degree,87762,4,3.8,4
31,2122,some college,85306,4,3.5,4
27,1960,associate's degree,91787,3.8,3.5,4
26,1859,some high school,63530,3.5,3.3,5
30,2000,associate's degree,82108,3.9,3.5,4
23,1874,high school,51780,3.3,3.1,5
28,2020,associate's degree,67592,3.8,3.2,5
27,1853,some college,94709,3.3,3.4,4
31,2115,associate's degree,74028,4,3.6,4
27,1981,master's degree,101923,3.6,3.7,4
28,1911,master's degree,83857,3.7,3.1,7
26,1859,bachelor's degree,87827,3.4,3.5,6
31,2047,bachelor's degree,91063,3.9,3.5,4
29,2035,some college,72231,3.9,3.5,4
32,2064,some high school,60835,4,3.6,5
27,1799,some college,65701,3.4,3.2,7
29,2059,some high school,33832,4,3.1,10
24,1735,high school,37366,3.1,3.2,5
29,1963,some college,64361,3.7,3.4,7
30,2094,some college,49474,4,3.3,9
31,2080,associate's degree,69211,3.9,3.6,3
27,1961,high school,79114,3.5,3.6,3
30,2057,some college,70216,3.8,3.4,5
25,1918,some high school,60081,3.4,3.6,3
29,2012,high school,69143,3.9,3.8,3
27,1837,associate's degree,97869,3.4,3.6,5
28,2009,high school,45046,3.7,2.9,6
28,1978,master's degree,75365,3.6,3.6,3
27,1956,associate's degree,66102,3.6,3.3,4
34,2296,associate's degree,90589,4,3.7,4
32,2149,master's degree,70631,4,3.5,4
32,2262,bachelor's degree,78826,4,3.6,4
32,2184,high school,58250,4,3.7,4
30,2205,bachelor's degree,95739,4,3.7,4
32,2032,high school,43693,3.9,3.5,7
33,2206,high school,54965,4,3.5,4
32,2066,high school,47635,4,3.4,7
30,2056,associate's degree,70997,3.9,3.3,4
32,2183,some college,63924,4,3.4,4
31,2068,some college,63406,4,3.4,4
31,2186,some college,60247,4,3.2,5
24,1855,some high school,61324,3.2,3.1,4
33,2342,bachelor's degree,83506,4,3.7,6
