gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
female,group C,some college,standard,completed,72,77,81
male,group A,associate's degree,free/reduced,completed,58,52,54
female,group D,associate's degree,standard,completed,74,81,83
female,group B,some college,standard,none,66,70,77
female,group D,some high school,standard,none,73,76,79
female,group D,some high school,free/reduced,none,68,73,73
female,group C,bachelor's degree,free/reduced,completed,57,71,72
female,group D,associate's degree,free/reduced,none,62,79,77
male,group B,bachelor's degree,standard,completed,100,92,97
male,group B,some college,standard,completed,86,73,79
male,group B,bachelor's degree,standard,none,72,67,64
male,group D,some college,standard,none,87,72,73
male,group B,high school,standard,completed,82,81,82
male,group D,bachelor's degree,free/reduced,none,64,64,59
male,group A,master's degree,standard,none,79,77,76
female,group C,some high school,free/reduced,none,31,45,39
male,group B,bachelor's degree,standard,none,64,59,64
female,group B,some college,standard,completed,67,66,77
female,group C,high school,standard,none,63,62,62
female,group E,associate's degree,free/reduced,none,57,72,68
male,group E,bachelor's degree,standard,completed,90,86,83
female,group C,some high school,free/reduced,none,47,66,63
male,group D,some college,free/reduced,none,66,73,68
male,group E,some college,standard,none,52,55,53
female,group E,some college,free/reduced,completed,54,63,63
female,group B,some high school,free/reduced,none,49,53,52
male,group B,associate's degree,free/reduced,completed,73,76,81
male,group D,some high school,free/reduced,completed,48,59,59
male,group C,high school,free/reduced,completed,71,79,71
female,group D,associate's degree,standard,none,58,76,69
male,group D,high school,standard,none,82,77,78
female,group E,master's degree,standard,completed,82,92,95
female,group C,some college,standard,none,39,47,44
male,group B,some high school,free/reduced,none,56,59,52
female,group D,some high school,standard,none,71,76,81
male,group C,bachelor's degree,standard,none,58,62,59
male,group E,some high school,standard,completed,82,77,73
male,group C,some high school,standard,completed,78,85,78
female,group D,associate's degree,free/reduced,completed,56,62,70
male,group D,some high school,free/reduced,completed,52,52,48
female,group B,high school,standard,completed,78,73,81
male,group C,associate's degree,standard,none,91,80,78
female,group E,associate's degree,standard,completed,68,65,74
male,group D,associate's degree,standard,completed,82,78,84
female,group E,some college,standard,completed,90,98,99
male,group E,associate's degree,standard,completed,86,88,81
female,group A,some high school,free/reduced,none,50,63,62
female,group C,some college,standard,none,72,69,72
female,group B,some high school,standard,none,84,87,84
female,group B,some high school,standard,completed,50,58,63
female,group C,high school,free/reduced,completed,44,58,51
male,group E,bachelor's degree,free/reduced,completed,80,66,68
female,group C,associate's degree,free/reduced,none,51,66,65
male,group D,high school,standard,none,72,67,69
female,group A,some college,standard,none,71,85,76
male,group C,high school,free/reduced,completed,53,48,52
male,group B,high school,standard,none,78,77,70
female,group D,high school,free/reduced,none,50,70,67
male,group E,bachelor's degree,standard,completed,91,85,86
female,group B,some high school,free/reduced,none,21,29,22
female,group E,some high school,standard,none,68,72,65
female,group D,some college,standard,none,83,89,95
male,group C,associate's degree,standard,completed,58,54,54
male,group A,some high school,free/reduced,none,65,68,65
female,group C,associate's degree,standard,completed,80,87,90
female,group B,associate's degree,standard,none,62,72,70
male,group D,some college,standard,none,74,67,67
female,group E,some college,standard,none,88,85,86
female,group D,some college,standard,none,49,55,56
male,group B,bachelor's degree,standard,none,58,58,50
male,group C,high school,free/reduced,completed,44,54,48
female,group D,associate's degree,standard,none,85,82,86
male,group D,some high school,standard,completed,93,85,86
female,group C,associate's degree,free/reduced,none,44,71,62
male,group B,master's degree,standard,none,75,72,64
male,group D,associate's degree,free/reduced,none,12,14,10
male,group C,associate's degree,free/reduced,none,56,60,55
male,group C,master's degree,standard,completed,89,86,87
female,group D,bachelor's degree,standard,none,68,86,87
male,group A,some high school,standard,none,67,73,69
female,group E,bachelor's degree,standard,none,90,100,94
male,group C,high school,standard,completed,71,68,70
female,group C,associate's degree,standard,none,61,77,66
female,group C,some college,standard,completed,72,84,83
male,group C,some college,free/reduced,none,71,75,73
female,group D,bachelor's degree,standard,none,77,86,88
male,group B,master's degree,standard,none,94,81,82
male,group C,some high school,free/reduced,none,65,59,56
female,group E,bachelor's degree,free/reduced,none,83,100,92
female,group D,associate's degree,standard,none,57,51,50
female,group E,some high school,standard,none,86,83,77
male,group D,some high school,standard,completed,82,70,73
female,group D,some college,free/reduced,completed,50,60,68
male,group D,some high school,standard,none,72,71,65
female,group C,some college,standard,completed,87,100,99
male,group D,high school,free/reduced,none,45,40,39
female,group D,some high school,standard,none,58,73,70
female,group C,associate's degree,standard,completed,66,81,77
male,group B,high school,standard,completed,65,57,55
male,group B,associate's degree,standard,none,57,56,46
male,group C,some college,standard,completed,70,65,69
male,group B,high school,standard,none,64,51,45
female,group B,associate's degree,standard,none,71,81,75
male,group B,master's degree,standard,none,85,77,81
male,group D,some college,free/reduced,none,45,50,46
male,group C,associate's degree,standard,completed,95,95,89
male,group B,high school,standard,none,70,75,61
male,group E,bachelor's degree,standard,completed,84,73,77
female,group D,some college,standard,completed,68,74,76
male,group B,bachelor's degree,free/reduced,none,64,74,64
male,group D,some college,standard,none,74,57,61
female,group C,some high school,standard,completed,72,82,80
male,group D,associate's degree,standard,completed,91,82,86
female,group B,high school,standard,completed,79,74,76
male,group B,associate's degree,standard,none,74,66,65
male,group B,some college,standard,completed,69,58,62
female,group E,associate's degree,standard,none,81,81,80
male,group C,high school,standard,none,81,70,70
female,group C,bachelor's degree,free/reduced,none,50,64,65
female,group E,some high school,free/reduced,none,78,76,76
male,group B,some high school,standard,none,75,75,66
male,group B,high school,standard,none,51,60,59
female,group E,some high school,free/reduced,none,47,56,49
female,group D,high school,standard,none,68,81,79
male,group D,high school,standard,none,76,75,74
female,group D,high school,free/reduced,none,52,70,66
male,group C,some college,free/reduced,none,43,40,39
male,group D,master's degree,standard,none,80,78,77
male,group D,high school,standard,none,60,53,59
female,group A,some high school,standard,none,53,58,56
male,group C,some college,free/reduced,completed,71,80,73
female,group B,high school,free/reduced,none,37,36,34
male,group C,associate's degree,free/reduced,completed,67,54,54
female,group E,some college,standard,completed,81,95,96
female,group C,bachelor's degree,free/reduced,none,50,69,65
female,group D,some high school,standard,none,58,66,67
male,group A,some college,standard,completed,74,62,67
female,group C,bachelor's degree,standard,none,43,45,53
female,group E,master's degree,free/reduced,none,70,88,79
female,group B,some college,free/reduced,completed,43,61,56
male,group D,bachelor's degree,free/reduced,completed,63,72,70
male,group B,high school,standard,none,68,64,54
male,group E,some high school,standard,completed,99,86,85
female,group D,some college,standard,none,75,88,88
male,group C,some college,standard,completed,60,57,51
female,group D,some college,standard,none,63,71,72
male,group C,some college,free/reduced,none,54,55,48
female,group E,associate's degree,standard,completed,61,66,70
male,group C,high school,standard,none,51,43,35
female,group A,associate's degree,free/reduced,none,19,41,36
female,group E,associate's degree,standard,none,77,78,73
male,group E,high school,free/reduced,completed,50,34,34
male,group C,some college,free/reduced,none,44,46,44
male,group A,some college,free/reduced,none,75,61,58
female,group E,some college,standard,completed,75,81,87
female,group B,some college,free/reduced,none,59,63,63
male,group D,high school,standard,none,63,69,60
female,group A,bachelor's degree,standard,none,54,57,60
male,group C,some college,free/reduced,none,62,53,50
female,group C,some college,standard,none,66,80,73
male,group A,some college,free/reduced,completed,46,42,42
female,group E,associate's degree,standard,none,74,89,85
male,group B,some college,standard,completed,74,74,77
female,group D,some college,standard,none,73,88,88
female,group D,associate's degree,standard,completed,84,100,100
male,group D,some high school,free/reduced,none,53,63,53
female,group B,some college,free/reduced,none,51,66,61
male,group B,some college,free/reduced,completed,79,79,83
female,group C,bachelor's degree,free/reduced,none,34,48,41
female,group A,associate's degree,free/reduced,none,56,70,63
female,group B,bachelor's degree,standard,completed,77,91,96
female,group D,some college,free/reduced,none,61,82,84
female,group E,some college,standard,none,80,75,84
female,group E,master's degree,standard,completed,100,100,100
male,group C,some high school,free/reduced,completed,41,45,49
male,group E,associate's degree,free/reduced,completed,89,88,85
male,group E,some high school,free/reduced,none,55,49,44
male,group D,some college,standard,none,57,59,53
female,group B,some high school,free/reduced,completed,76,91,82
male,group C,associate's degree,standard,none,76,70,68
female,group B,high school,standard,completed,56,69,69
male,group C,high school,standard,completed,80,68,70
male,group D,associate's degree,standard,none,85,74,79
male,group A,some high school,standard,none,79,66,68
female,group B,high school,standard,none,60,75,78
male,group D,some high school,free/reduced,completed,59,64,68
male,group B,master's degree,free/reduced,none,71,69,69
male,group E,associate's degree,standard,none,75,74,66
male,group C,associate's degree,standard,none,86,82,76
female,group B,associate's degree,standard,none,63,72,68
male,group C,associate's degree,standard,completed,62,59,59
male,group B,bachelor's degree,standard,completed,65,67,64
female,group C,associate's degree,free/reduced,completed,53,67,61
male,group E,bachelor's degree,free/reduced,none,83,81,79
female,group B,high school,free/reduced,none,50,58,54
male,group E,associate's degree,standard,completed,97,82,82
female,group B,some high school,free/reduced,completed,47,63,64
male,group E,some high school,free/reduced,completed,55,55,51
female,group C,associate's degree,standard,none,75,78,77
male,group A,some college,free/reduced,none,35,39,34
female,group C,master's degree,free/reduced,none,52,74,73
male,group C,some college,standard,none,66,70,66
female,group D,associate's degree,standard,none,55,54,63
male,group C,some high school,free/reduced,none,62,63,52
male,group B,master's degree,free/reduced,none,64,64,58
male,group D,associate's degree,free/reduced,none,69,68,64
male,group D,some high school,free/reduced,completed,48,45,46
female,group B,high school,free/reduced,none,31,59,46
male,group B,associate's degree,standard,none,71,64,67
female,group D,bachelor's degree,standard,none,79,78,85
female,group B,high school,standard,none,65,86,75
female,group C,bachelor's degree,standard,none,70,91,85
male,group B,associate's degree,standard,completed,57,63,64
female,group E,some high school,standard,none,72,80,74
male,group D,associate's degree,free/reduced,none,42,40,46
female,group C,high school,standard,none,65,75,69
male,group C,some college,free/reduced,none,62,62,52
male,group D,master's degree,standard,completed,100,96,100
male,group C,high school,standard,none,77,69,68
female,group D,high school,standard,completed,62,81,76
female,group D,some college,standard,completed,73,86,90
female,group C,some high school,standard,none,16,42,38
female,group B,some high school,standard,completed,61,85,83
male,group B,some college,standard,none,65,60,57
female,group C,bachelor's degree,standard,none,53,66,62
male,group B,some college,free/reduced,none,78,78,71
female,group E,high school,standard,none,73,80,71
female,group B,associate's degree,standard,completed,49,55,53
male,group B,some high school,free/reduced,none,58,55,51
male,group B,some college,standard,none,54,58,50
female,group B,some high school,standard,none,46,53,49
female,group A,some high school,free/reduced,none,34,54,50
female,group E,high school,free/reduced,none,58,57,55
male,group D,some college,standard,none,57,52,49
female,group B,high school,standard,completed,72,73,85
male,group B,associate's degree,standard,completed,98,89,94
female,group C,some high school,free/reduced,none,46,58,51
female,group D,some high school,free/reduced,none,58,70,72
female,group D,high school,free/reduced,none,78,80,80
female,group C,high school,standard,completed,64,77,70
female,group B,some high school,free/reduced,completed,53,73,71
male,group A,bachelor's degree,free/reduced,none,65,65,59
female,group B,high school,free/reduced,none,54,67,59
male,group B,some college,standard,none,59,59,52
male,group C,some college,free/reduced,completed,60,69,64
male,group C,high school,standard,none,61,53,52
female,group A,bachelor's degree,free/reduced,none,58,73,67
female,group C,some college,free/reduced,none,56,62,64
male,group D,some college,free/reduced,completed,60,57,63
female,group C,master's degree,standard,none,51,48,53
female,group A,some college,standard,none,66,81,80
female,group E,some college,free/reduced,none,66,67,63
male,group C,high school,standard,completed,62,53,49
female,group E,associate's degree,free/reduced,completed,76,93,86
female,group C,high school,standard,none,54,74,69
male,group B,bachelor's degree,free/reduced,none,85,90,81
male,group C,some college,standard,none,87,76,66
female,group C,associate's degree,standard,completed,76,87,86
female,group D,master's degree,standard,none,80,85,86
female,group B,some high school,standard,completed,57,70,74
male,group E,associate's degree,standard,none,56,45,43
female,group B,associate's degree,standard,none,72,83,79
male,group D,high school,free/reduced,none,40,30,30
female,group C,high school,free/reduced,none,67,80,78
male,group D,associate's degree,standard,none,70,62,66
female,group B,some high school,standard,none,61,66,66
male,group E,some high school,free/reduced,none,74,64,58
female,group B,some college,free/reduced,completed,48,62,63
female,group D,some college,free/reduced,none,60,77,70
male,group A,some college,standard,none,68,62,61
male,group C,some college,standard,none,84,74,73
female,group C,master's degree,standard,none,92,95,99
female,group D,some college,standard,none,96,89,92
female,group C,high school,free/reduced,none,40,54,46
female,group D,some college,standard,none,69,72,75
female,group D,high school,standard,completed,66,82,79
male,group C,some college,standard,none,56,59,54
male,group C,associate's degree,standard,completed,90,96,97
female,group E,high school,standard,none,85,100,98
female,group D,associate's degree,standard,completed,54,68,71
male,group E,associate's degree,standard,none,75,69,58
male,group B,some college,standard,completed,87,79,86
male,group C,some high school,free/reduced,none,27,28,27
female,group C,some college,standard,completed,73,76,77
female,group D,associate's degree,standard,completed,65,78,83
male,group E,bachelor's degree,standard,completed,82,72,68
male,group E,high school,standard,none,64,71,66
male,group D,associate's degree,standard,none,81,71,70
female,group A,bachelor's degree,standard,completed,58,68,75
female,group C,associate's degree,standard,completed,59,72,73
male,group D,associate's degree,standard,none,83,80,80
female,group A,some high school,standard,none,63,79,71
female,group D,high school,standard,completed,77,91,96
female,group D,associate's degree,standard,none,47,62,55
male,group C,associate's degree,standard,completed,86,82,80
female,group C,some high school,free/reduced,completed,51,68,68
female,group B,some college,standard,none,48,68,67
female,group C,some high school,free/reduced,completed,51,53,55
female,group C,high school,standard,none,83,88,84
male,group D,some high school,standard,none,65,62,62
male,group C,some high school,standard,none,92,77,72
female,group B,high school,free/reduced,none,56,72,60
female,group A,some college,standard,completed,62,79,83
female,group A,some high school,standard,none,63,63,63
female,group C,some high school,free/reduced,none,45,59,60
female,group A,some high school,standard,completed,68,81,77
male,group A,high school,free/reduced,completed,45,47,45
female,group C,some college,free/reduced,none,66,71,68
male,group C,associate's degree,free/reduced,completed,52,64,69
female,group C,some high school,free/reduced,none,27,31,29
male,group C,master's degree,standard,none,79,77,67
female,group E,high school,standard,none,84,93,93
female,group C,some high school,free/reduced,none,25,39,35
male,group D,associate's degree,standard,none,75,65,70
female,group E,some high school,free/reduced,none,69,69,71
male,group A,bachelor's degree,standard,none,61,48,51
female,group D,some high school,standard,none,53,56,52
male,group A,some high school,standard,none,69,69,61
female,group D,some high school,free/reduced,completed,36,54,57
male,group C,some high school,standard,completed,90,90,85
female,group E,high school,standard,none,75,83,84
male,group E,associate's degree,free/reduced,completed,69,76,71
female,group D,associate's degree,free/reduced,none,54,69,69
female,group C,high school,free/reduced,none,30,52,43
female,group C,associate's degree,standard,completed,90,100,100
male,group B,master's degree,standard,completed,82,79,82
female,group A,some college,standard,completed,83,100,100
male,group C,high school,standard,none,92,80,83
female,group A,bachelor's degree,standard,completed,83,99,100
female,group B,high school,standard,none,45,42,39
male,group B,some college,standard,completed,72,79,77
male,group D,master's degree,standard,none,83,79,86
male,group B,some high school,free/reduced,completed,51,64,60
female,group C,some college,standard,none,73,74,71
female,group B,high school,free/reduced,none,53,64,60
male,group C,some college,standard,none,90,80,77
female,group B,some college,free/reduced,none,36,53,49
male,group B,high school,free/reduced,none,53,42,47
female,group C,master's degree,standard,completed,72,80,79
female,group D,master's degree,standard,none,77,75,82
female,group C,some college,free/reduced,none,46,59,57
male,group D,some college,free/reduced,none,52,63,56
male,group C,associate's degree,standard,none,65,59,54
male,group B,some high school,standard,completed,69,67,68
female,group C,bachelor's degree,free/reduced,completed,62,71,67
female,group D,master's degree,standard,none,91,92,93
female,group B,some college,standard,completed,41,48,54
male,group C,master's degree,standard,none,70,59,66
male,group C,some college,standard,completed,89,81,78
female,group B,bachelor's degree,standard,none,77,90,92
female,group C,bachelor's degree,free/reduced,completed,63,71,73
male,group B,some college,standard,completed,93,92,96
male,group B,high school,free/reduced,completed,67,71,66
female,group D,high school,standard,completed,69,82,88
male,group D,some college,standard,completed,76,71,78
male,group B,some college,standard,none,59,54,52
female,group A,associate's degree,free/reduced,completed,52,73,68
male,group B,bachelor's degree,free/reduced,none,63,58,49
male,group C,high school,standard,completed,68,63,64
male,group B,some college,standard,completed,82,71,71
female,group B,some college,free/reduced,completed,54,74,73
female,group E,some college,standard,none,77,87,85
male,group E,associate's degree,standard,completed,100,100,99
female,group B,some college,standard,none,88,97,99
male,group B,associate's degree,standard,completed,91,87,88
female,group B,high school,standard,none,36,57,49
female,group C,some high school,standard,completed,57,63,64
female,group C,associate's degree,standard,none,73,82,77
male,group D,high school,standard,none,90,89,80
female,group E,some high school,standard,none,59,60,60
male,group E,some college,free/reduced,none,71,72,67
male,group B,bachelor's degree,standard,none,57,60,60
male,group D,high school,standard,none,75,79,76
male,group C,high school,free/reduced,none,30,24,25
female,group C,some high school,standard,none,55,59,49
male,group C,some high school,standard,none,70,58,56
male,group D,some high school,free/reduced,none,46,40,39
male,group B,associate's degree,standard,none,57,66,61
male,group D,some high school,standard,none,69,69,67
male,group C,bachelor's degree,standard,none,70,71,65
female,group E,associate's degree,free/reduced,completed,51,59,58
male,group E,high school,free/reduced,none,51,32,29
male,group C,some college,free/reduced,none,73,77,73
female,group E,master's degree,free/reduced,completed,71,79,87
male,group B,some college,standard,completed,84,83,80
male,group D,some college,standard,none,87,84,84
male,group C,some college,standard,none,68,70,74
male,group B,high school,standard,none,76,69,68
male,group B,bachelor's degree,free/reduced,completed,55,66,67
female,group D,high school,standard,completed,69,75,77
female,group D,bachelor's degree,free/reduced,none,78,84,89
male,group C,associate's degree,free/reduced,none,46,40,43
female,group A,high school,standard,none,55,71,62
female,group C,master's degree,standard,none,72,75,83
female,group E,bachelor's degree,standard,none,67,71,67
male,group C,some college,standard,completed,65,68,71
male,group C,associate's degree,free/reduced,completed,80,75,77
male,group B,some high school,standard,none,52,51,38
male,group D,high school,standard,completed,93,90,87
female,group D,bachelor's degree,standard,none,85,91,92
male,group A,high school,standard,completed,55,49,42
female,group C,some college,free/reduced,none,80,93,91
female,group C,some college,free/reduced,completed,50,72,70
male,group B,associate's degree,standard,none,64,60,60
female,group B,high school,free/reduced,none,56,71,69
male,group E,high school,free/reduced,none,68,66,61
female,group A,some college,standard,completed,83,95,92
female,group C,some high school,standard,completed,66,80,69
male,group E,associate's degree,standard,none,65,57,55
female,group D,some high school,standard,completed,69,78,87
male,group C,some high school,standard,none,53,43,42
female,group C,associate's degree,free/reduced,completed,64,77,77
female,group B,associate's degree,standard,completed,86,94,100
female,group C,bachelor's degree,standard,none,60,65,71
male,group B,some high school,standard,completed,83,78,78
male,group C,some high school,free/reduced,none,51,48,47
male,group B,some college,standard,none,87,75,67
male,group E,some high school,standard,completed,100,97,90
male,group C,some college,standard,none,79,81,78
female,group D,some college,standard,completed,77,95,97
female,group B,some high school,free/reduced,completed,36,57,53
male,group B,bachelor's degree,standard,none,93,87,84
female,group E,bachelor's degree,free/reduced,completed,81,93,95
female,group C,some college,standard,completed,59,58,60
male,group B,some college,standard,none,77,79,70
male,group E,some high school,standard,none,84,78,72
male,group B,some high school,free/reduced,none,46,53,52
male,group B,high school,free/reduced,none,61,56,53
female,group E,some high school,standard,none,81,89,87
female,group D,some high school,standard,completed,81,86,81
female,group E,some college,standard,none,71,75,75
female,group C,some college,free/reduced,none,44,54,59
male,group C,bachelor's degree,free/reduced,none,52,58,46
female,group E,associate's degree,standard,none,76,81,83
female,group C,associate's degree,standard,none,69,78,73
female,group B,high school,free/reduced,none,34,49,44
male,group B,some college,standard,none,54,52,40
female,group C,high school,standard,completed,73,81,88
female,group C,high school,free/reduced,completed,44,59,63
female,group D,associate's degree,standard,completed,63,71,81
male,group C,some college,free/reduced,none,60,62,56
male,group D,some college,standard,none,73,63,65
male,group D,high school,standard,completed,89,92,88
male,group D,some high school,standard,none,53,40,40
male,group C,high school,free/reduced,none,73,73,67
male,group D,some high school,standard,completed,83,82,81
male,group C,some college,standard,completed,83,79,78
female,group D,associate's degree,standard,none,61,70,69
male,group D,some college,free/reduced,completed,54,52,51
female,group D,associate's degree,standard,completed,81,92,92
female,group C,associate's degree,standard,none,85,93,95
female,group C,high school,free/reduced,none,74,77,73
male,group C,associate's degree,standard,none,77,67,62
female,group B,high school,standard,none,63,66,66
male,group B,some high school,standard,completed,66,59,55
female,group B,bachelor's degree,standard,none,61,83,82
male,group D,some high school,free/reduced,none,64,54,58
female,group A,some high school,free/reduced,completed,54,58,62
female,group A,some college,standard,none,57,70,61
male,group C,some college,standard,completed,80,85,82
male,group C,bachelor's degree,standard,completed,91,90,92
female,group E,some college,free/reduced,none,80,89,80
male,group C,associate's degree,free/reduced,none,84,76,76
female,group D,master's degree,standard,none,39,45,50
male,group D,bachelor's degree,standard,none,76,65,70
male,group B,associate's degree,standard,none,61,61,61
female,group B,some college,standard,completed,67,78,81
female,group B,bachelor's degree,standard,none,65,76,76
female,group B,high school,standard,completed,62,75,69
female,group D,some high school,standard,none,57,59,64
female,group C,some college,standard,completed,66,80,80
female,group B,bachelor's degree,free/reduced,completed,29,45,50
female,group C,some college,standard,none,80,95,98
female,group C,some college,standard,completed,64,79,78
male,group C,bachelor's degree,standard,none,74,69,69
female,group B,associate's degree,standard,none,94,100,94
male,group D,some college,standard,none,78,82,79
female,group C,high school,standard,none,52,74,67
male,group B,associate's degree,standard,none,73,57,60
male,group A,some high school,standard,none,47,45,39
female,group C,associate's degree,free/reduced,completed,65,77,72
female,group D,high school,standard,completed,72,85,86
female,group D,high school,standard,none,71,78,76
male,group B,bachelor's degree,standard,completed,70,64,61
male,group C,associate's degree,standard,none,49,53,38
male,group C,associate's degree,standard,completed,71,76,71
male,group C,some high school,standard,completed,81,74,74
female,group B,some college,standard,none,74,83,78
male,group D,some college,standard,completed,55,66,65
female,group B,high school,free/reduced,none,51,66,60
male,group C,high school,standard,none,55,42,36
female,group D,some high school,free/reduced,none,68,68,69
male,group D,associate's degree,free/reduced,none,50,55,53
female,group C,some college,standard,none,72,78,74
female,group B,some high school,standard,none,37,52,47
male,group C,master's degree,standard,completed,83,80,75
male,group A,high school,standard,completed,63,57,61
male,group E,some college,free/reduced,none,70,56,57
male,group C,some college,standard,none,72,71,69
female,group D,some college,standard,completed,85,87,90
female,group D,some college,standard,completed,98,100,100
female,group C,bachelor's degree,standard,none,47,62,66
male,group B,associate's degree,standard,none,79,68,62
male,group C,some college,standard,completed,73,68,76
male,group B,some high school,standard,completed,76,80,72
female,group C,some college,free/reduced,completed,61,71,76
female,group D,high school,standard,none,53,51,56
male,group D,bachelor's degree,standard,none,74,67,65
female,group E,associate's degree,free/reduced,none,74,75,74
male,group B,some college,free/reduced,completed,47,45,51
female,group A,bachelor's degree,standard,none,82,93,93
female,group B,some college,free/reduced,none,53,60,54
female,group E,bachelor's degree,free/reduced,completed,71,71,74
female,group C,bachelor's degree,standard,none,73,77,76
female,group A,associate's degree,free/reduced,completed,75,88,87
female,group C,bachelor's degree,free/reduced,none,44,57,49
male,group D,some high school,standard,completed,80,63,67
male,group D,some high school,free/reduced,none,70,68,61
male,group E,some college,free/reduced,none,90,77,75
female,group C,some college,free/reduced,completed,68,73,72
male,group D,some high school,standard,none,65,62,60
male,group B,some college,free/reduced,none,47,48,41
male,group A,associate's degree,free/reduced,none,72,72,62
male,group C,some college,standard,none,72,79,66
female,group B,high school,standard,none,61,63,66
male,group D,bachelor's degree,free/reduced,none,48,59,56
female,group E,associate's degree,standard,completed,86,100,100
female,group D,high school,standard,completed,77,88,87
male,group E,bachelor's degree,standard,none,93,68,69
male,group B,associate's degree,standard,none,55,55,53
female,group B,some high school,free/reduced,none,35,45,46
male,group B,some college,standard,completed,84,83,82
female,group B,high school,standard,completed,64,75,76
male,group B,high school,standard,completed,86,95,96
male,group C,some college,standard,none,69,68,65
male,group D,some high school,free/reduced,none,56,56,52
female,group B,master's degree,standard,none,66,65,68
male,group C,some high school,standard,none,57,64,55
female,group C,bachelor's degree,free/reduced,none,42,44,54
female,group D,some high school,free/reduced,none,50,65,63
female,group D,some high school,standard,completed,72,74,76
male,group C,associate's degree,standard,completed,87,98,99
female,group D,associate's degree,free/reduced,completed,74,90,87
female,group C,some college,standard,none,64,67,68
male,group C,some high school,standard,none,86,89,80
female,group E,some college,standard,none,81,73,74
female,group B,high school,standard,none,73,90,90
male,group B,high school,standard,none,50,47,44
male,group D,some college,free/reduced,none,60,68,66
male,group C,some high school,free/reduced,none,70,50,50
male,group D,high school,free/reduced,none,38,35,29
male,group B,some college,standard,none,77,64,70
male,group D,some high school,standard,none,55,49,52
male,group B,some high school,standard,none,80,80,77
female,group C,associate's degree,standard,none,62,81,79
female,group C,bachelor's degree,standard,completed,71,87,96
female,group C,some college,free/reduced,none,34,40,42
male,group B,high school,standard,none,57,43,43
female,group E,associate's degree,free/reduced,none,58,63,61
female,group C,some college,free/reduced,completed,18,38,29
male,group E,some college,free/reduced,completed,84,88,82
female,group D,master's degree,standard,none,67,70,74
male,group B,bachelor's degree,free/reduced,none,35,39,37
male,group D,master's degree,standard,completed,81,70,67
female,group B,high school,standard,completed,83,90,87
female,group C,some college,free/reduced,completed,48,55,46
male,group C,master's degree,free/reduced,none,85,81,81
female,group E,some high school,standard,completed,100,95,100
male,group E,bachelor's degree,standard,none,69,69,63
male,group C,some college,free/reduced,none,44,49,48
male,group B,some high school,free/reduced,none,41,56,49
male,group A,bachelor's degree,standard,none,87,76,78
female,group C,associate's degree,free/reduced,none,66,70,73
female,group A,bachelor's degree,free/reduced,none,51,60,64
male,group D,some high school,free/reduced,completed,67,70,71
female,group C,high school,free/reduced,none,35,36,37
male,group E,some college,standard,completed,93,81,83
female,group C,some college,standard,none,38,41,44
female,group D,some high school,standard,completed,74,87,94
male,group B,high school,free/reduced,none,72,59,64
male,group D,some high school,standard,completed,53,51,49
male,group C,master's degree,standard,none,100,93,90
male,group D,some high school,standard,completed,88,93,93
male,group D,some college,standard,none,56,52,46
male,group D,associate's degree,standard,none,57,50,52
female,group C,master's degree,standard,none,68,75,84
male,group D,high school,standard,completed,98,82,84
female,group B,some college,standard,completed,59,63,64
male,group B,associate's degree,standard,none,77,72,66
female,group D,some college,free/reduced,completed,60,65,71
female,group E,bachelor's degree,standard,completed,68,66,74
male,group B,some college,standard,none,93,80,73
female,group A,high school,free/reduced,none,28,42,38
male,group B,some college,standard,none,80,75,65
male,group D,high school,standard,none,75,83,76
male,group E,bachelor's degree,free/reduced,none,77,70,69
male,group D,associate's degree,standard,none,67,65,62
female,group D,bachelor's degree,standard,none,77,82,90
male,group D,master's degree,standard,none,78,77,72
female,group D,associate's degree,standard,none,86,88,84
male,group A,some college,standard,none,59,48,48
female,group D,master's degree,standard,completed,85,84,95
male,group E,associate's degree,standard,none,77,62,62
male,group D,associate's degree,standard,none,78,67,73
male,group B,some college,standard,completed,73,62,69
female,group C,some college,standard,none,60,76,72
male,group D,some college,free/reduced,completed,51,58,57
male,group B,some college,free/reduced,none,58,56,51
male,group D,bachelor's degree,standard,none,98,98,97
female,group D,some high school,standard,none,55,63,58
female,group A,some high school,free/reduced,completed,59,71,73
female,group C,some high school,standard,none,76,82,80
male,group C,associate's degree,free/reduced,none,69,71,68
female,group E,bachelor's degree,standard,none,65,65,68
male,group B,some high school,standard,none,61,61,52
male,group B,some college,free/reduced,completed,63,72,66
female,group C,some high school,standard,completed,82,86,89
male,group A,some college,standard,completed,53,55,50
male,group D,some college,standard,none,70,56,63
female,group C,some high school,standard,none,55,61,55
male,group C,some high school,standard,none,50,47,40
female,group E,associate's degree,free/reduced,completed,63,74,69
male,group D,high school,standard,none,99,78,81
male,group E,some college,standard,none,81,75,66
male,group C,some college,standard,completed,74,80,77
female,group E,some high school,standard,none,76,79,74
male,group E,master's degree,standard,none,66,66,63
male,group D,high school,standard,none,76,66,63
male,group D,bachelor's degree,free/reduced,none,69,51,54
male,group C,high school,standard,none,67,77,69
male,group E,bachelor's degree,free/reduced,none,92,90,88
male,group D,bachelor's degree,free/reduced,none,74,74,72
female,group C,associate's degree,standard,none,60,59,62
female,group E,some college,standard,none,60,62,61
female,group B,some high school,standard,completed,77,69,76
male,group C,some high school,standard,completed,68,65,66
female,group D,high school,standard,none,55,55,59
male,group D,master's degree,standard,completed,93,90,99
